"ppw" "exp"
"571" -0.214138113419259 "MMP"
"572" -0.214135972059538 "MMP"
"573" -0.339396950275486 "MMP"
"574" -0.428271944119077 "MMP"
"575" -0.553535063694745 "MMP"
"576" -0.107065844670049 "MMP"
"577" -0.107067986029769 "MMP"
"578" -0.107067986029769 "MMP"
"579" -0.446464936305255 "MMP"
"580" -0.339394808915765 "MMP"
"581" -0.107065844670049 "MMP"
"582" -0.214138113419259 "MMP"
"583" -0.214135972059538 "MMP"
"584" -0.107067986029769 "MMP"
"585" -0.446464936305255 "MMP"
"586" -0.553532922335024 "MMP"
"587" -0.892932013970231 "MMP"
"588" -0.892932013970231 "MMP"
"589" -0.446464936305256 "MMP"
"590" -0.553532922335024 "MMP"
"591" -0.553532922335025 "MMP"
"592" -0.446464936305256 "MMP"
"593" -0.446464936305255 "MMP"
"594" -0.892932013970231 "MMP"
"595" -0.553532922335024 "MMP"
"596" -0.571725914521203 "MMP"
"597" -0.446467077664976 "MMP"
"598" -0.89292987261051 "MMP"
"599" -0.553532922335024 "MMP"
"600" -0.339394808915765 "MMP"
"601" -0.214135972059538 "MMP"
"602" -0.553532922335024 "MMP"
"603" -0.660600908364793 "MMP"
"604" -0.446464936305256 "MMP"
"605" -0.446464936305255 "MMP"
"606" -0.232328964245716 "MMP"
"607" -0.446464936305256 "MMP"
"608" -0.10707012738949 "MMP"
"609" 0 "MMP"
"610" 0.339396950275486 "MMP"
"611" -0.446467077664975 "MMP"
"612" -0.107067986029769 "MMP"
"613" -0.214135972059538 "MMP"
"614" -0.107067986029769 "MMP"
"615" -0.339399091635207 "MMP"
"616" 0.107067986029769 "MMP"
"617" 0 "MMP"
"618" -0.107067986029769 "MMP"
"619" -0.107067986029769 "MMP"
"620" 0 "MMP"
"621" -0.107067986029769 "MMP"
"622" -0.446464936305256 "MMP"
"623" -0.214133830699818 "MMP"
"624" -0.107065844670049 "MMP"
"625" -0.232328964245717 "MMP"
"626" -0.107065844670049 "MMP"
"627" -0.339399091635206 "MMP"
"628" -0.214133830699818 "MMP"
"629" -0.107067986029769 "MMP"
"630" -0.339399091635207 "MMP"
"631" -0.339394808915765 "MMP"
"632" -0.339399091635206 "MMP"
"633" 0 "MMP"
"634" -0.446467077664976 "MMP"
"635" -0.446464936305256 "MMP"
"636" -0.321203958089308 "MMP"
"637" 0 "MMP"
"638" -0.107067986029769 "MMP"
"639" -0.107067986029769 "MMP"
"640" -0.214135972059538 "MMP"
"641" -0.339394808915765 "MMP"
"642" -0.214138113419259 "MMP"
"643" -0.321203958089308 "MMP"
"644" -0.553532922335024 "MMP"
"645" -0.446467077664975 "MMP"
"646" -0.446467077664976 "MMP"
"647" -0.553532922335024 "MMP"
"648" -0.446467077664975 "MMP"
"649" -0.446467077664976 "MMP"
"650" -0.553532922335024 "MMP"
"651" -0.660603049724514 "MMP"
"652" -0.553535063694745 "MMP"
"653" -0.446467077664975 "MMP"
"654" -0.446467077664975 "MMP"
"655" -0.446467077664975 "MMP"
"656" -0.107065844670049 "MMP"
